channel_id,channel_number,channel_name,date,program_title,start_time,end_time,scraped_at
0162,50,Sky Sport Select,2026-08-11,CPL: Antigua v Saint Lucia,11:45PM,3:45AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,Currie Cup: Stormers v Cheetahs,3:45AM,5:45AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,Japan v Australia Hls,5:45AM,6:00AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,NPC: Nth Harbour v Counties Manukau Hls,6:00AM,6:15AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,NPC: Taranaki v Waikato Hls,6:15AM,6:30AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,NPC: Auckland v Wellington Hls,6:30AM,6:45AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,NPC: Bay of Plenty v Northland Hls,6:45AM,7:00AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,NPC: Hawke's Bay v Tasman Hls,7:00AM,7:15AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,NPC: Otago v Canterbury Hls (RS),7:15AM,7:30AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,NPC: Manawatu v Southland Hls,7:30AM,7:45AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,Argentina v South Africa Hls,7:45AM,8:00AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,The Crowd Goes Wild,8:00AM,8:30AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,League Lounge With Shaun Johnson,8:30AM,9:00AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,NRL 360,9:00AM,10:00AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,Matty & Cronk,10:00AM,10:30AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,AFL 360,10:30AM,11:30AM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,AFL: On The Couch,11:30AM,12:30PM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,PGA Tour: Round 4,12:30PM,2:30PM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,Hundred W: Rockets v Brave Hls,2:30PM,2:45PM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,CPL: Jamaica v Antigua & Barbuda Hls,2:45PM,3:00PM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,CPL: St Kitts v Trinbago Hls,3:00PM,3:15PM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,CPL: Antigua v Saint Lucia Hls,3:15PM,3:30PM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,The Crowd Goes Wild,3:30PM,4:00PM,2026-08-11T01:42:19Z
0162,50,Sky Sport Select,2026-08-11,League Lounge With Shaun Johnson,4:00PM,4:30PM,2026-08-11T01:42:19Z
