channel_id,channel_number,channel_name,date,program_title,start_time,end_time,scraped_at
0162,50,Sky Sport Select,2026-08-07,SRP: Hurricanes Season Wrap,12:00AM,1:00AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,SRP: Highlanders Season Wrap,1:00AM,2:00AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,GSL: Qualifier: Vipers v Unicorn Ext Hls,2:00AM,2:30AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,GSL: Final: Warriors v Unicorns Ext Hls,2:30AM,3:00AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,Goodwood Festival Of Speed: Day 1 HLs,3:00AM,3:45AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,Goodwood Festival Of Speed: Day 2 HLs,3:45AM,4:35AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,Hi-Tec Oils Super Series Rd3 HLs,4:35AM,5:30AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,Late Braking,5:30AM,6:00AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,NRLW on Fox,6:00AM,6:30AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,FIA Karting: Slomczyn Hls,6:30AM,7:00AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,The Crowd Goes Wild,7:00AM,7:30AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,HotelPlanner Tour Event Hls,7:30AM,8:00AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,L2h of Tour De France Femmes Stage 6,8:00AM,10:00AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,Tour De France Femmes Stage 6 Hls,10:00AM,10:30AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,Sal's NBL: Semifinal Hls,10:30AM,11:30AM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,NRLW on Fox,11:30AM,12:00PM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,NRL Titans v Cowboys R23,12:00PM,1:55PM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,Rugby League: The Late Show With Matty Johns,1:55PM,3:00PM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,HotelPlanner Tour Event Hls,3:00PM,3:30PM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,The Crowd Goes Wild,3:30PM,4:00PM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,L2h of Tour De France Femmes Stage 6,4:00PM,6:00PM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,HotelPlanner Tour Event Hls,6:00PM,6:30PM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,GTWS: Salomon Pitz Alpine Glacier Hls,6:30PM,7:00PM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,PFL New York Hls,7:00PM,7:50PM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,NRL: Warriors v Panthers (Te Reo),7:50PM,10:00PM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,GTWS: Salomon Pitz Alpine Glacier Hls,10:00PM,10:30PM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,PFL New York Hls,10:30PM,11:30PM,2026-08-07T03:02:50Z
0162,50,Sky Sport Select,2026-08-07,The Bowls Show,11:30PM,12:10AM,2026-08-07T03:02:50Z
SPT1,51,Sky Sport 1,2026-08-07,The Breakdown,11:20PM,12:20AM,2026-08-07T03:02:50Z
SPT1,51,Sky Sport 1,2026-08-07,Hundred: Rockets v Phoenix Hls,12:20AM,12:35AM,2026-08-07T03:02:50Z
SPT1,51,Sky Sport 1,2026-08-07,The Crowd Goes Wild,12:35AM,1:15AM,2026-08-07T03:02:50Z
SPT1,51,Sky Sport 1,2026-08-07,Tour De France Femmes Stage 5 Hls,1:15AM,1:45AM,2026-08-07T03:02:50Z
SPT1,51,Sky Sport 1,2026-08-07,Tour de France Femmes Stage 6,1:45AM,4:30AM,2026-08-07T03:02:50Z
SPT1,51,Sky Sport 1,2026-08-07,PGA Tour: Event Hls,4:30AM,5:30AM,2026-08-07T03:02:50Z
SPT1,51,Sky Sport 1,2026-08-07,The Crowd Goes Wild,5:30AM,6:00AM,2026-08-07T03:02:50Z
SPT1,51,Sky Sport 1,2026-08-07,PGA Tour: Event Hls,6:00AM,7:00AM,2026-08-07T03:02:50Z
SPT1,51,Sky Sport 1,2026-08-07,PGA Tour: Round 1,7:00AM,10:00AM,2026-08-07T03:02:50Z
SPT1,51,Sky Sport 1,2026-08-07,HotelPlanner Tour Event Hls,10:00AM,10:30AM,2026-08-07T03:02:50Z
SPT1,51,Sky Sport 1,2026-08-07,The Crowd Goes Wild,10:30AM,11:00AM,2026-08-07T03:02:50Z
SPT1,51,Sky Sport 1,2026-08-07,Tour De France Femmes Stage 6 Hls,11:00AM,11:30AM,2026-08-07T03:02:50Z
SPT1,51,Sky Sport 1,2026-08-07,NPC: Nth Harbour v Counties Manukau Hls,11:30AM,11:45AM,2026-08-07T03:02:50Z
