country_code,channel_id,channel_number,channel_name,channel_display_name,date,program_title,start_time,end_time,scraped_at
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,NPC: Tasman v Bay of Plenty Hls,12:00AM,12:15AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,NRLW on Fox,12:15AM,12:45AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,NRL 360,12:45AM,1:45AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,NRL: Roosters v Sharks SF1 Hls,1:45AM,2:00AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,NRL: Warriors v Knights SF2 Hls,2:00AM,2:15AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,NRLW: Tigers v Raiders Hls SF1,2:15AM,2:30AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,NRLW: Broncos v Knights Hls SF2,2:30AM,2:45AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,Big Shoes To Fill,2:45AM,3:15AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,The Starting Eleven,3:15AM,3:45AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,FPC: Bay of Plenty v Auckland Hls,3:45AM,4:00AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,FPC: North Harbour v Tasman Hls,4:00AM,4:15AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,FPC: Wellington v Northland Hls,4:15AM,4:30AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,WXV: Scotland v Black Ferns Ext. Hls,4:30AM,5:00AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,Sailing To The Games Ep.4,5:00AM,5:30AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,T100 Triathlon: French Riviera Hls,5:30AM,6:00AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,NPC: Tasman v Bay of Plenty,6:00AM,8:00AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,HotelPlanner Tour Event Hls,8:00AM,8:30AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,WSL: Lexus Trestles Pro HLs,8:30AM,9:30AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,The Crowd Goes Wild,9:30AM,10:00AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,DP World Tour: Round 1 Hls,10:00AM,10:30AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,HotelPlanner Tour Event Hls,10:30AM,11:00AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,FPC: North Harbour v Tasman Hls,11:00AM,11:15AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,FPC: Wellington v Northland Hls,11:15AM,11:30AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,NPC: Tasman v Bay of Plenty Hls,11:30AM,11:45AM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,WXV: Scotland v Black Ferns Hls,11:45AM,12:00PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,NRL: Roosters v Sharks SF1 Hls,12:00PM,12:15PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,NRL: Warriors v Knights SF2 Hls,12:15PM,12:30PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,AFL Sydney Swans v Fremantle PF2 Hls,12:30PM,12:45PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,AFL Hawthorn v Brisbane Lions PF1 Hls,12:45PM,1:00PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,NPC: Tasman v Bay of Plenty,1:00PM,3:00PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,DP World Tour: Round 1,3:00PM,5:00PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,Presidents Cup Day 1,5:00PM,7:00PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,GTWS: Myoko Trail Hls,7:00PM,7:30PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,ICF Polo World Championships Hls,7:30PM,8:00PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,Presidents Cup Day 1 Hls,8:00PM,8:30PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,DP World Tour: Round 1 Hls,8:30PM,9:00PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,FIA Karting: Le Mans Hls,9:00PM,9:30PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,GTWS: Myoko Trail Hls,9:30PM,10:00PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,Rugby Heaven,10:00PM,11:00PM,2026-09-25T03:40:47Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-25,FPC: Auckland v Manawatu,11:00PM,1:00AM,2026-09-25T03:40:47Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-25,England v Sri Lanka: 2nd ODI,11:00PM,8:00AM,2026-09-25T03:40:47Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-25,NPC: Tasman v Bay of Plenty,8:00AM,10:00AM,2026-09-25T03:40:47Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-25,2021 RWC: Black Ferns v England F,10:00AM,12:00PM,2026-09-25T03:40:47Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-25,England v Sri Lanka: 2nd ODI Hls,12:00PM,12:30PM,2026-09-25T03:40:47Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-25,The Bowls Show,12:30PM,1:30PM,2026-09-25T03:40:47Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-25,The Crowd Goes Wild,1:30PM,2:00PM,2026-09-25T03:40:47Z
