channel_id,channel_number,channel_name,date,program_title,start_time,end_time,scraped_at
0162,50,Sky Sport Select,2026-08-14,CPL: Jamaica v Barbados Hls,12:00AM,12:15AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,CPL: St Lucia v St Kitts,12:15AM,4:15AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,NRL: Panthers v Roosters Hls,4:15AM,4:30AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,Between Two Posts,4:30AM,5:30AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,Sal's NBL: Saints v Sharks Final Hls,5:30AM,6:00AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,NPC: Wellington v North Harbour Hls,6:00AM,6:15AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,NRL: Panthers v Roosters Hls,6:15AM,6:30AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,Hundred W: Fire v Spirit Hls,6:30AM,6:45AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,AFLW: Hawthorn v Melbourne Hls,6:45AM,7:00AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,The Crowd Goes Wild,7:00AM,7:30AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,Australia v Bangladesh: 1st Test D1 Hls,7:30AM,8:00AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,CPL: St Lucia v St Kitts Ext Hls,8:00AM,8:30AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,HotelPlanner Tour Event Hls,8:30AM,9:00AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,NRL: Panthers v Roosters,9:00AM,11:00AM,2026-08-14T01:53:50Z
0162,50,Sky Sport Select,2026-08-14,Rugby League: The Late Show With Matty Johns,11:00AM,12:00PM,2026-08-14T01:53:50Z
