country_code,channel_id,channel_number,channel_name,channel_display_name,date,program_title,start_time,end_time,scraped_at
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,"INDYCAR: Washington, D.C.",11:10PM,2:15AM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,1st XV: Rosmini v Westlake Final Hls,2:15AM,2:30AM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,DP World Tour: Event Hls,2:30AM,3:00AM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,Australia v Bangladesh: 2nd Test D2 Hls,3:00AM,3:30AM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,The Crowd Goes Wild,3:30AM,4:00AM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,PGA Champions Tour: R3,4:00AM,6:00AM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,CPL: Antigua v Guyana Ext Hls,6:00AM,6:30AM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,The Crowd Goes Wild,6:30AM,7:00AM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,World Rowing Championships D2,7:00AM,9:30AM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,Lions v All Blacks Hls,9:30AM,9:45AM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,NRL 360,9:45AM,10:45AM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,Rugby League: Face To Face On Fox,10:45AM,11:15AM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,NRL Try Time,11:15AM,12:25PM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,League Lounge With Shaun Johnson,12:25PM,12:55PM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,Lions v All Blacks Ext. Hls,12:55PM,1:25PM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,PGA Champions Tour: R3,1:25PM,3:25PM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,Lions v All Blacks Ext. Hls,3:25PM,3:55PM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,La Vuelta Stage 4 Hls,3:55PM,4:25PM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,NRL 360,4:25PM,5:25PM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,Rugby League: Face To Face On Fox,5:25PM,5:55PM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,League Lounge With Shaun Johnson,5:55PM,6:25PM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,World Rowing Championships D2,6:25PM,8:55PM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,La Vuelta Stage 4 Hls,8:55PM,9:25PM,2026-08-26T01:15:56Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-26,World Series Darts: Australia: D1,9:25PM,1:25AM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,"INDYCAR: Washington, D.C. Hls",11:10PM,12:10AM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,Springboks v All Blacks 1st Test Hls,12:10AM,12:30AM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,La Vuelta Stage 4,12:30AM,4:15AM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,Lions v All Blacks,4:15AM,7:45AM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,Lions v All Blacks,7:45AM,10:15AM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,La Vuelta Stage 4 Hls,10:15AM,10:45AM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,Lions v All Blacks Ext. Hls,10:45AM,11:15AM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,PGA Tour: Event Hls,11:15AM,12:15PM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,LPGA: Event Hls,12:15PM,1:15PM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,FIA F1: Dutch Grand Prix Ext Hls,1:15PM,2:10PM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,NPC: Hawke's Bay v Manawatu,2:10PM,4:10PM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,NPC: North Harbour v Auckland,4:10PM,6:05PM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,NPC: Otago v Wellington,6:05PM,8:00PM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,Lions v All Blacks,8:00PM,10:20PM,2026-08-26T01:15:56Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-26,2002: Waikato v Otago SF,10:20PM,12:20AM,2026-08-26T01:15:56Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-08-26,World Rowing Championships D2,11:25PM,1:30AM,2026-08-26T01:15:56Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-08-26,DP World Tour: Event Hls,1:30AM,2:00AM,2026-08-26T01:15:56Z
