country_code,channel_id,channel_number,channel_name,channel_display_name,date,program_title,start_time,end_time,scraped_at
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,Czech Tour S1,12:00AM,1:30AM,2026-08-20T01:11:32Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,Czech Tour S2,1:30AM,3:00AM,2026-08-20T01:11:32Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,Czech Tour S3,3:00AM,4:30AM,2026-08-20T01:11:32Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,Czech Tour S4,4:30AM,6:00AM,2026-08-20T01:11:32Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,CPL: Jamaica v St Kitts,6:00AM,10:00AM,2026-08-20T01:11:32Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,Between Two Posts,10:00AM,10:55AM,2026-08-20T01:11:32Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,The Agenda Setter: Rugby League,10:55AM,11:45AM,2026-08-20T01:11:32Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,England V Pakistan: 1st Test D1 Hls,11:45AM,12:15PM,2026-08-20T01:11:32Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,2018 NRL: Rabbitohs v Warriors,12:15PM,2:10PM,2026-08-20T01:11:32Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,2019 NRL: Rabbitohs v Warriors,2:10PM,4:05PM,2026-08-20T01:11:32Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,T100 Triathlon: Vancouver Hls,4:05PM,4:30PM,2026-08-20T01:11:32Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,Between Two Posts,4:30PM,5:25PM,2026-08-20T01:11:32Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,World Series Darts: New Zealand: D1,5:25PM,9:35PM,2026-08-20T01:11:32Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-20,World Series Darts: New Zealand: D2,9:35PM,1:30AM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,England v Pakistan: 1st Test D1,9:00PM,6:50AM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,2004: Auckland v North Harbour,6:50AM,8:45AM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,NPC: Auckland v Hawke's Bay Hls,8:45AM,9:00AM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,NPC: Manawatu v Otago Hls,9:00AM,9:15AM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,NPC: Southland v Waikato Hls,9:15AM,9:30AM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,NPC: Counties Manukau v Tasman Hls,9:30AM,9:45AM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,England V Pakistan: 1st Test D1 Hls,9:45AM,10:15AM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,CPL: Jamaica v St Kitts Hls,10:15AM,10:30AM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,CPL: St Lucia v Guyana,10:30AM,3:00PM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,Japan v Australia Hls,3:00PM,3:15PM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,Bulls v All Blacks Hls,3:15PM,3:30PM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,The Breakdown,3:30PM,4:30PM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,2000: South Africa v All Blacks,4:30PM,6:30PM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,The Crowd Goes Wild,6:30PM,7:00PM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,NPC: Canterbury v Northland (RS),7:00PM,9:15PM,2026-08-20T01:11:32Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-08-20,England v Pakistan: 1st Test D2,9:15PM,6:00AM,2026-08-20T01:11:32Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-08-20,Deutschland Tour Prologue,12:00AM,2:25AM,2026-08-20T01:11:32Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-08-20,Japan v Australia Hls,2:25AM,2:40AM,2026-08-20T01:11:32Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-08-20,Bulls v All Blacks Hls,2:40AM,2:55AM,2026-08-20T01:11:32Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-08-20,2019 NRL: Rabbitohs v Warriors,2:55AM,4:45AM,2026-08-20T01:11:32Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-08-20,AFL: Brisbane Lions v Gold Coast Suns,4:45AM,5:00AM,2026-08-20T01:11:32Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-08-20,AFL: Hawthorn v Collingwood,5:00AM,5:15AM,2026-08-20T01:11:32Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-08-20,AFL: GWS Giants v West Coast Eagles,5:15AM,5:30AM,2026-08-20T01:11:32Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-08-20,AFL: Essendon v Sydney Swans,5:30AM,5:45AM,2026-08-20T01:11:32Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-08-20,Bulls v All Blacks Hls,5:45AM,6:00AM,2026-08-20T01:11:32Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-08-20,CPL: Jamaica v St Kitts Ext Hls,6:00AM,6:30AM,2026-08-20T01:11:32Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-08-20,Deutschland Tour Prologue,6:30AM,8:30AM,2026-08-20T01:11:32Z
