channel_id,channel_number,channel_name,date,program_title,start_time,end_time,scraped_at
0162,50,Sky Sport Select,2026-08-13,Sal's NBL: Sharks v Saints Final,10:25PM,12:55AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,CPL: Jamaica v Barbados Hls,12:55AM,1:10AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,PGA Tour: Event Hls,1:10AM,2:05AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,Currie Cup: Sharks v Kavaliers,2:05AM,4:05AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,Currie Cup: Stormers v Cheetahs,4:05AM,6:00AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,CPL: Jamaica v Antigua & Barbuda Hls,6:00AM,6:15AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,CPL: St Kitts v Trinbago Hls,6:15AM,6:30AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,CPL: Antigua v Saint Lucia Hls,6:30AM,6:45AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,CPL: Jamaica v Barbados Hls,6:45AM,7:00AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,Sharks v All Blacks Hls,7:00AM,7:15AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,Argentina v South Africa Hls,7:15AM,7:30AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,Japan v Australia Hls,7:30AM,7:45AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,NRL Warriors v Panthers R23,7:45AM,9:45AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,NRLW: Warriors v Knights R6,9:45AM,11:30AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,2020 NRL: Warriors v Broncos,11:30AM,1:30PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,Sharks v All Blacks Hls,1:30PM,1:45PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,Hundred W: Fire v Spirit Hls,1:45PM,2:00PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,Hundred W: Phoenix v MI London Hls,2:00PM,2:15PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,Hundred M: Fire v Spirit Hls,2:15PM,2:30PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,Hundred M: Phoenix v MI London Hls,2:30PM,2:45PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,PGA Tour: The Cut,2:45PM,3:15PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,PGA Tour: Event Hls,3:15PM,4:15PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,NRL Try Time,4:15PM,5:30PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,NRL 2026: Warriors v Panthers R23 Hls,5:30PM,5:45PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,NRLW: Warriors v Knights Hls R6,5:45PM,6:00PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,2020 NRL: Warriors v Broncos,6:00PM,8:00PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,The Bowls Show,8:00PM,9:00PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,Between Two Posts,9:00PM,10:00PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,PGA Tour: Event Hls,10:00PM,11:00PM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,The Bowls Show,11:00PM,12:00AM,2026-08-13T01:56:32Z
0162,50,Sky Sport Select,2026-08-13,CPL: Jamaica v Barbados Hls,12:00AM,12:15AM,2026-08-13T01:56:32Z
SPT1,51,Sky Sport 1,2026-08-13,Hundred W: Fire v Spirit,10:15PM,1:30AM,2026-08-13T01:56:32Z
SPT1,51,Sky Sport 1,2026-08-13,Hundred M: Fire v Spirit,1:30AM,5:00AM,2026-08-13T01:56:32Z
SPT1,51,Sky Sport 1,2026-08-13,CPL: Antigua v Saint Lucia Hls,5:00AM,5:15AM,2026-08-13T01:56:32Z
SPT1,51,Sky Sport 1,2026-08-13,CPL: Jamaica v Barbados Hls,5:15AM,5:30AM,2026-08-13T01:56:32Z
