country_code,channel_id,channel_number,channel_name,channel_display_name,date,program_title,start_time,end_time,scraped_at
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,PL: Fulham v Chelsea Hls,12:00AM,12:15AM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,PL: Newcastle United v Liverpool Hls,12:15AM,12:30AM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,PL: Arsenal v Coventry City Hls,12:30AM,12:45AM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,PL: Manchester City v Bournemouth Hls,12:45AM,1:00AM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,Porsche Supercup Rd6&7 Race 1&2 Extd Hls,1:00AM,1:30AM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,CPL: Trinbago v St Lucia Ext Hls,1:30AM,2:00AM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,The Crowd Goes Wild,2:00AM,2:30AM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,League Lounge With Shaun Johnson,2:30AM,3:00AM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,Currie Cup: Pumas v Griquas,3:00AM,5:00AM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,Currie Cup: Bulls v Stormers,5:00AM,7:00AM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,Currie Cup: Sharks v Lions,7:00AM,9:00AM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,HotelPlanner Tour Event Hls,9:00AM,9:30AM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,NPC: Hawke's Bay v Manawatu,9:30AM,11:30AM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,The Crowd Goes Wild,11:30AM,12:00PM,2026-08-28T09:50:40Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-28,NPC: Tasman v Southland,12:00PM,2:00PM,2026-08-28T09:50:40Z
