country_code,channel_id,channel_number,channel_name,channel_display_name,date,program_title,start_time,end_time,scraped_at
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,AFL Melbourne v Carlton,9:15PM,12:30AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,PL: Crystal Palace v Man City Hls,12:30AM,12:50AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,PGA Tour: Round 2 Hls,12:50AM,1:20AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,NPC: Otago v Waikato Hls,1:20AM,1:35AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,FPC: Manawatu v Bay of Plenty Hls,1:35AM,1:50AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,PL: Coventry City v Hull City,1:50AM,4:10AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,NPC: Taranaki v Canterbury Hls,4:10AM,4:30AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,NPC: Otago v Waikato Hls,4:30AM,4:45AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,NPC: Manawatu v North Harbour Hls,4:45AM,5:00AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,LPGA: Round 2 Hls,5:00AM,5:30AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,CPL: Trinbago v Barbados Ext Hls,5:30AM,6:00AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,NRL: Cowboys v Wests Tigers,6:00AM,8:00AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,NRL 2026: Roosters v Dolphins,8:00AM,10:00AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,NRL 2026: Titans v Rabbitohs Hls,10:00AM,10:15AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,NRL 2026: Roosters v Dolphins Hls,10:15AM,10:30AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,NRL: Cowboys v Wests Tigers Hls,10:30AM,10:45AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,NRLW : Titans v Raiders Hls R9,10:45AM,11:00AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,NRLW: Cowboys v Knights Hls R9,11:00AM,11:15AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,NRLW : Roosters v Sharks Hls R9,11:15AM,11:30AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,FPC: Manawatu v Bay of Plenty Hls,11:30AM,11:45AM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,Argentina v Australia Hls,11:45AM,12:00PM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,INDYCAR: Milwaukee Mile R1,12:00PM,12:25PM,2026-08-30T03:54:38Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-08-30,La Vuelta Stage 8,12:25PM,2:15PM,2026-08-30T03:54:38Z
