country_code,channel_id,channel_number,channel_name,channel_display_name,date,program_title,start_time,end_time,scraped_at
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,NPC: Manawatu v North Harbour Hls,12:00AM,12:15AM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,NPC: Wellington v Counties Manukau Hls,12:15AM,12:30AM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,NPC: Northland v Tasman Hls (RS),12:30AM,12:45AM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,NPC: Auckland v Bay of Plenty Hls,12:45AM,1:00AM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,NPC: Southland v Hawke's Bay Hls,1:00AM,1:15AM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFLW: Sydney v St Kilda,1:15AM,3:15AM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFLW: North Melbourne v Western,3:15AM,5:15AM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFLW: Melbourne v Brisbane Hls,5:15AM,5:30AM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFLW: Gold Coast v Geelong Hls,5:30AM,5:45AM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFLW: Fremantle v Carlton Hls,5:45AM,6:00AM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,2013: North Harbour v Northland,6:00AM,8:00AM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFLW: North Melbourne v Western,8:00AM,10:00AM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFLW: Adelaide v West Coast,10:00AM,12:00PM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFLW: Sydney v St Kilda,12:00PM,2:00PM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFLW: Melbourne v Brisbane,2:00PM,4:00PM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFLW: Gold Coast v Geelong,4:00PM,6:00PM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFLW: Fremantle v Carlton,6:00PM,8:00PM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFL 360,8:00PM,9:00PM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFL First Crack Preview,9:00PM,9:30PM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,PL: Crystal Palace v Man City Hls,9:30PM,9:50PM,2026-09-03T03:10:26Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-03,AFL Fremantle v Hawthorn,9:50PM,12:30AM,2026-09-03T03:10:26Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-03,Argentina v Australia 1st Test Hls,12:00AM,12:20AM,2026-09-03T03:10:26Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-03,La Vuelta Stage 10 Hls,12:20AM,12:50AM,2026-09-03T03:10:26Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-03,La Vuelta Stage 11,12:50AM,4:00AM,2026-09-03T03:10:26Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-03,Currie Cup: Lions v Stormers,4:00AM,6:00AM,2026-09-03T03:10:26Z
