country_code,channel_id,channel_number,channel_name,channel_display_name,date,program_title,start_time,end_time,scraped_at
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,Walker Cup: Day 1 Morning,7:30PM,12:30AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,PL: Ipswich Town v Liverpool Hls,12:30AM,12:50AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,UCI Mountain Bike WCHs: XC Hls,12:50AM,1:50AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,PL: Brentford v Sunderland,1:50AM,4:10AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,AFLW: Bulldogs v Swans Hls,4:10AM,4:25AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,AFLW: Port Adelaide v SUNS Hls,4:25AM,4:40AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,AFLW: Brisbane Lions v GWS Giants Hls,4:40AM,5:00AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,INDYCAR: Laguna Seca Practice 2,5:00AM,6:45AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,NPC: Waikato v Canterbury Hls,6:45AM,7:00AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,NRL 2026:Warriors v Sea Eagles Hls R27,7:00AM,7:15AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,NRL: Sharks v Storm Hls R27,7:30AM,7:45AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,NRLW: Warriors v Sharks Hls R10,7:45AM,8:00AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,NRLW: Cowboys v Roosters Hls R10,8:00AM,8:15AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,NRLW: Knights v Bulldogs Hls R10,8:15AM,8:30AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,INDYCAR: Laguna Seca Qualifying,8:30AM,10:00AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,FIA Formula 2: Rd10 Sprint Race,10:00AM,11:00AM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,FIA Formula 3: Rd8 Sprint Race,11:00AM,12:00PM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,INDYCAR: Laguna Seca Warm-Up,12:00PM,1:00PM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,Porsche Supercup Rd8 Qualifying Replay,1:00PM,2:00PM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,INDYCAR: Laguna Seca Qualifying,2:00PM,3:40PM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,NRLW: Tigers v Titans R10,3:40PM,5:25PM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,DP World Tour: Round 3 Hls,5:25PM,5:55PM,2026-09-06T03:10:52Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-06,FIA Formula 1: Italy GP Qualifying Hls,5:55PM,6:10PM,2026-09-06T03:10:52Z
