country_code,channel_id,channel_number,channel_name,channel_display_name,date,program_title,start_time,end_time,scraped_at
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,UCI Road World Championships,11:25PM,2:15AM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,UCI Road World Championships,2:15AM,4:25AM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,Davis Cup: New Zealand v Japan Hls,4:25AM,5:25AM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,Sailing To The Games Ep.4,5:25AM,6:00AM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,AFL 360,6:00AM,7:00AM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,AFL Midweek Tackle,7:00AM,7:30AM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,England v Sri Lanka: 1st ODI Hls,7:30AM,8:00AM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,WSL: Man City v Liverpool,8:00AM,10:00AM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,WSL: Charlton v London City,10:00AM,12:00PM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,WSL: Chelsea v Birmingham,12:00PM,2:00PM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,WSL: Arsenal v Man Utd,2:00PM,4:00PM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,WSL: Crystal Palace v Spurs,4:00PM,6:00PM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,CRO Race 2026: Stage 2,6:00PM,8:00PM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,WXV: Scotland v Black Ferns Ext. Hls,8:00PM,8:30PM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,NRL 360,8:30PM,9:30PM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,NRLW on Fox,9:30PM,10:00PM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,NRL: The Fan,10:00PM,10:30PM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,Davis Cup: New Zealand v Japan Hls,10:30PM,11:30PM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,The Crowd Goes Wild,11:30PM,12:00AM,2026-09-24T03:23:34Z
NZ,0162,50,Sky Sport Select,[NZ] Sky Sport Select,2026-09-24,NPC: Tasman v Bay of Plenty Hls,12:00AM,12:15AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,CRO Race 2026: Stage 2,12:00AM,2:30AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,The Starting Eleven,2:30AM,3:00AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,PGA Tour: Event Hls,3:00AM,4:00AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,DP World Tour: Event Hls,4:00AM,4:30AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,NRL 360,4:30AM,5:30AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,NRL: The Fan,5:30AM,6:00AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,2010: Tasman v Bay of Plenty,6:00AM,7:55AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,WXV: Scotland v Black Ferns,7:55AM,10:00AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,Big Shoes To Fill,10:00AM,10:30AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,The Starting Eleven,10:30AM,11:00AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,NPC: Counties Manukau v Otago Hls,11:00AM,11:15AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,NPC: Tasman v Auckland Hls,11:15AM,11:30AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,NPC: Bay of Plenty v Hawke's Bay Hls,11:30AM,11:45AM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,NPC: Waikato v Manawatu Hls,11:45AM,12:00PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,NPC: Wellington v Northland Hls,12:00PM,12:15PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,NPC: North Harbour v Canterbury Hls,12:15PM,12:30PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,NPC: Taranaki v Southland Hls,12:30PM,12:45PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,FPC: Bay of Plenty v Auckland Hls,12:45PM,1:00PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,FPC: North Harbour v Tasman Hls,1:00PM,1:15PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,FPC: Wellington v Northland Hls,1:15PM,1:30PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,Big Shoes To Fill,1:30PM,2:00PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,The Starting Eleven,2:00PM,2:30PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,2010: Tasman v Bay of Plenty,2:30PM,4:25PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,2021 RWC: Black Ferns v England F,4:25PM,6:30PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,The Crowd Goes Wild,6:30PM,7:00PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,NPC: Tasman v Bay of Plenty,7:00PM,9:05PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,FPC: Bay of Plenty v Auckland Hls,9:05PM,9:20PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,FPC: North Harbour v Tasman Hls,9:20PM,9:35PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,FPC: Wellington v Northland Hls,9:35PM,9:50PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,The Crowd Goes Wild,9:50PM,10:30PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,England v Sri Lanka: 1st ODI Hls,10:30PM,11:00PM,2026-09-24T03:23:34Z
NZ,SPT1,51,Sky Sport 1,[NZ] Sky Sport 1,2026-09-24,England v Sri Lanka: 2nd ODI,11:00PM,7:30AM,2026-09-24T03:23:34Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-09-24,NRL 360,12:00AM,1:00AM,2026-09-24T03:23:34Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-09-24,FIA Formula One: Paddock Uncut,1:00AM,1:30AM,2026-09-24T03:23:34Z
NZ,SPT2,52,Sky Sport 2,[NZ] Sky Sport 2,2026-09-24,DP World Tour: Event Hls,1:30AM,2:00AM,2026-09-24T03:23:34Z
